start	end	text
0	6000	This video begins a two video journey over the process of learning about how we can achieve
6000	13000	Locate queries in big O of R space in a run length compressed full text index
13000	16500	So we've already talked about the count query that's not the subject for today
16500	23000	Not the main subject for today today. Today our subject really is the locate query and why is it that we're able to achieve
24000	29960	Locate queries efficiently in big O of R space and we'll get really specific about what
29960	36960	Is achievable in terms of the exact space and time bounds that we can do for Locate queries
37960	44960	So let's get started by reminding ourselves about how we have been doing locate queries even in the non
45960	48960	Run length compress setting so back when we talked about the
49960	55960	You know standard FM index without run length compression we had a little bit of a trick
55960	59960	For how we answered locate queries first of all we said
60960	62960	Answers to locate queries
62960	64960	Can be pre-computed
64960	66960	Right so if I do my
66960	74960	Interated backward search procedure and I my pattern is say the string ABA and so at the end of my iterated backward search procedure
74960	78960	I know that these are the rows that begin with ABA
78960	87960	Then we could imagine another array parallel to the rows with our matrix that simply tells us
88960	93960	You know which permutation or which rotation that is in each row of the rows with our matrix
93960	100960	And we said this is the suffix array. This is the exact same thing as the suffix array discussed in other videos
101960	109960	So if we were to pre-comput that answer for every row we would have computed the suffix array of the text
110960	113960	We don't want the whole suffix array
113960	117960	That's too big. I mean the good news is that the suffix array allows us
117960	123960	For every one of these pattern matches to immediately look up its offset with respect to T so that's great
123960	129960	We got a good benefit. It's easy to query because everything is a direct look up in the suffix array
129960	136960	However, it's too big because we need n integers to store it where n is the total length of the text
136960	140960	So in other words, there's nothing about the suffix array by itself
140960	147960	Before we do before we do clever things, there's nothing about the suffix array that allows us to take advantage of the
147960	151960	Run-length compressibility of a repetitive text
152960	158960	We didn't even, we weren't even satisfied with n integers before when we were talking about the FM index
158960	160960	We came up with the idea of
161960	166960	Sub-sampling the suffix array so that instead of keeping all the elements of the suffix array
166960	171960	Let's say we just kept some of them. So for example, let's say we kept the even ones
171960	180960	So if we kept the even elements of the suffix array then when it came time to look up the offset of this pattern match of ABA
180960	185960	We would look over in the corresponding element of our sampled suffix array somehow
185960	189960	This is with some associative, some associative data structure over here
189960	201960	And we'd see, oh we kept a note about what suffix array offset was present for this row of the rows
201960	203960	Wheeler matrix so we'd get offset zero
203960	207960	But then we'd go to look up this one and we find it is not there
207960	211960	And now we have to do something to figure out well, okay fine
211960	215960	So we didn't keep that one but we still have to answer the locate query so what do we do?
215960	218960	We can do an LF mapping, right?
218960	222960	So we find our self here in the row that ends with this A
222960	228960	So that's the A of rank 1, right? So I suppose that's A, rank 0 as A, rank 1, 2, 3
